index,dp_calls_NORMAL,literal_iteration_NORMAL,literal_search_NORMAL,dp_calls_PREPROCESS,literal_iteration_PREPROCESS,literal_search_PREPROCESS,dp_calls_PURE_LITERAL,literal_iteration_PURE_LITERAL,literal_search_PURE_LITERAL,dp_calls_PREPROCESS_+_PURE_LITERAL,literal_iteration_PREPROCESS_+_PURE_LITERAL,literal_search_PREPROCESS_+_PURE_LITERAL
323,6,12790,22780,6,12584,22768,6,14014,24228,6,13912,24322
324,4,11787,21530,4,11948,21500,4,12635,22522,4,12908,22626
325,4,11861,21668,4,12016,21638,4,12715,22670,4,12984,22774
326,5,12137,22098,5,12235,22072,5,13049,23179,5,13259,23279
327,4,12307,22450,4,12404,22420,4,13219,23526,4,13436,23620
328,5,12137,22098,5,12235,22072,5,13049,23179,5,13259,23279
329,4,12200,22346,4,12355,22316,4,13054,23348,4,13323,23452
330,5,12592,22496,5,12448,22500,5,13760,23873,5,13728,24005
331,4,12103,22162,4,12264,22132,4,12951,23154,4,13224,23258
332,4,12124,22204,4,12285,22174,4,12972,23196,4,13245,23300
333,4,12235,22106,4,12249,22094,4,13239,23282,4,13353,23382
334,5,12845,22840,5,12615,22834,5,14095,24307,5,13975,24427
335,4,12260,22382,4,12371,22352,4,13158,23442,4,13387,23536
336,5,11967,21758,5,12065,21732,5,12879,22839,5,13089,22939
337,4,12083,22028,4,12194,21998,4,12981,23090,4,13210,23182
338,4,12368,22572,4,12465,22542,4,13280,23648,4,13497,23742
339,6,12852,22716,6,12560,22718,6,14168,24268,6,13980,24386
340,6,12878,22768,6,12583,22764,6,14194,24320,6,14003,24432
341,4,12144,22244,4,12305,22214,4,12992,23236,4,13265,23340
342,6,12619,22438,6,12413,22426,6,13843,23884,6,13741,23980
343,6,12708,22616,6,12502,22604,6,13932,24064,6,13830,24158
344,6,12827,22570,6,12490,22580,6,14191,24174,6,13962,24308
345,6,12700,22600,6,12494,22588,6,13924,24046,6,13822,24142
346,6,12787,22774,6,12581,22762,6,14011,24222,6,13909,24316
347,4,12217,22270,4,12314,22240,4,13129,23346,4,13346,23442
348,6,12851,22714,6,12558,22714,6,14167,24266,6,13978,24382
349,4,11800,21556,4,11961,21526,4,12648,22548,4,12921,22652
350,5,12763,22676,5,12534,22672,5,14013,24143,5,13894,24265
351,4,12183,22228,4,12294,22198,4,13081,23288,4,13310,23382
352,5,12101,22026,5,12199,22000,5,13013,23107,5,13223,23207
353,5,12579,22470,5,12435,22474,5,13747,23847,5,13715,23979
354,6,12799,22798,6,12593,22786,6,14023,24244,6,13921,24340
355,4,12098,22058,4,12209,22028,4,12996,23118,4,13225,23212
356,6,12932,22876,6,12635,22868,6,14248,24428,6,14055,24534
357,6,12902,22720,6,12567,22734,6,14266,24324,6,14039,24462
358,6,12879,22770,6,12583,22764,6,14195,24322,6,14003,24432
359,6,12923,22858,6,12630,22858,6,14239,24410,6,14050,24526
360,4,12312,22260,4,12326,22248,4,13316,23436,4,13430,23536
361,4,12240,22342,4,12351,22312,4,13138,23402,4,13367,23496
362,4,11884,21714,4,12039,21684,4,12738,22716,4,13007,22820
363,5,12814,22778,5,12585,22774,5,14064,24245,5,13945,24367
364,6,12885,22782,6,12588,22774,6,14201,24334,6,14008,24440
365,4,12205,22356,4,12360,22326,4,13059,23358,4,13328,23462
366,4,11951,21858,4,12112,21828,4,12799,22850,4,13072,22954
367,6,12848,22708,6,12555,22708,6,14164,24260,6,13975,24374
368,4,12233,22302,4,12330,22272,4,13145,23378,4,13362,23474
369,4,12237,22430,4,12398,22400,4,13085,23422,4,13358,23526
370,6,12886,22784,6,12591,22780,6,14202,24336,6,14011,24446
371,6,12786,22772,6,12580,22760,6,14010,24218,6,13908,24314
372,4,12394,22624,4,12491,22594,4,13306,23700,4,13523,23794
373,4,12388,22612,4,12485,22582,4,13300,23688,4,13517,23784
374,5,12139,22102,5,12237,22076,5,13051,23183,5,13261,23283
